,TST BOCES Tompkins,DeWitt Middle School,Northeast Elementary School,Cayuga Heights Elementary School,Belle Sherman Elementary School,Caroline After School Program,South Hill Elementary School,Beverly J. Martin Elementary School,Fall Creek Elementary School,Boynton Middle School,ICSD Technology,737 Willow Ave,Enfield Elementary School,Lehman Alternative Community School,Tompkins County Recycling,,,,,
TST BOCES Tompkins,0.0000,1.2488,1.1800,1.4020,3.7682,13.7752,6.8680,4.8829,4.2515,3.6334,4.2453,4.0389,13.6554,5.8297,5.6899,,,,,
DeWitt Middle School,1.4547,0.0000,0.5358,1.5011,6.7929,12.6805,5.7709,3.7863,3.1554,2.5385,3.1488,2.9425,12.5596,4.7341,4.5926,,,,,
Northeast Elementary School,1.5205,0.6706,0.0000,1.5665,7.3104,13.1984,6.2886,4.3037,3.6725,3.0557,3.6676,3.4597,13.0766,5.2518,5.1104,,,,,
Cayuga Heights Elementary School,2.5207,2.4139,2.3446,0.0000,2.9884,10.0190,3.9960,2.4985,2.1096,3.0646,2.5969,3.4686,11.9028,4.0805,3.9393,,,,,
Belle Sherman Elementary School,4.9542,7.3971,7.7802,3.0557,0.0000,6.4028,2.1943,1.0406,1.2612,2.6260,1.5032,1.9680,10.3278,2.5016,2.3618,,,,,
Caroline After School Program,13.5129,12.2136,12.5959,9.0169,5.3317,0.0000,7.0109,5.8576,6.0788,7.4417,6.3192,6.7839,15.1452,7.3183,7.1762,,,,,
South Hill Elementary School,8.3828,7.0813,7.4645,4.5145,2.8027,8.6904,0.0000,0.7256,0.9459,2.3107,1.1882,1.6546,10.0116,2.1881,1.8313,,,,,
Beverly J. Martin Elementary School,7.7644,6.4634,6.8464,4.3058,3.0206,8.9098,1.9989,0.0000,0.7375,1.6921,0.5693,1.0357,9.3944,1.5692,1.4279,,,,,
Fall Creek Elementary School,7.2373,5.9368,6.3195,3.9611,3.5810,9.4696,2.5593,0.7376,0.0000,0.7667,0.5038,0.5084,10.1246,2.3011,2.1598,,,,,
Boynton Middle School,6.3127,5.0119,5.3947,4.6203,4.9427,10.8299,3.9213,1.9360,0.7697,0.0000,1.3000,1.0936,10.7083,2.8848,2.7435,,,1.248811563,,
ICSD Technology,7.4144,6.1136,6.4964,5.7235,3.8479,9.7366,2.8265,0.4878,0.5709,1.3421,0.0000,0.6858,9.6141,1.7900,1.6487,,,0.535835424,,
737 Willow Ave,7.0671,5.7662,6.1491,5.3748,4.1809,10.0663,3.1597,1.1743,0.5427,0.9948,0.5370,0.0000,9.9461,2.1233,1.9820,,,1.566547892,,
Enfield Elementary School,13.4157,12.1154,12.4982,10.8491,8.9812,14.8696,7.9588,6.2131,6.8926,7.3437,6.2209,6.6863,0.0000,5.8889,6.7802,,,2.988377081,,
Lehman Alternative Community School,8.3038,7.0022,7.3854,5.7372,3.8668,9.7548,2.8454,1.0991,1.7797,2.2317,1.1077,1.5741,8.6010,0.0000,1.6677,,,6.402799177,,
Tompkins County Recycling,8.6320,7.3303,7.7137,6.0670,4.1966,10.0825,3.1752,1.4289,2.1095,2.5600,1.4375,1.9039,10.2605,2.4374,0.0000,,,7.010856372,,
,,,,,,,,,,,,,,,,,,0.725624127,,
,,,,,,,,,,,,,,,,,,0.737529942,,
,,,,,,,,,,,,,,,,,,0.766680611,,
,,,,,,,,,,,,,,,,,,1.299956734,,
,,,,,,,,,,,,,,,,,,0.685761255,,
,,,,,,,,,,,,,,,,,,9.946129725,,
,,,,,,,,,,,,,,,,,,5.888945289,,
,,,,,,,,,,,,,,,,,,1.667729556,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,41.47158475,,
,,,,,,,,,,,,,,,,,,50.10362513,49.2104,-1.82%
