,TST BOCES Tompkins,DeWitt Middle School,Northeast Elementary School,Cayuga Heights Elementary School,Belle Sherman Elementary School,Caroline After School Program,South Hill Elementary School,Beverly J. Martin Elementary School,Fall Creek Elementary School,Boynton Middle School,ICSD Technology,737 Willow Ave,Enfield Elementary School,Lehman Alternative Community School,Tompkins County Recycling,,,
TST BOCES Tompkins,0,2.4407,2.2959,3.4301,6.6556,23.5397,12.6201,10.8868,9.586,8.2487,9.6515,9.2159,21.5955,11.5442,12.7441,,,
DeWitt Middle School,2.4407,0,0.9677,3.4203,11.0533,21.3534,10.4338,8.7005,7.3997,6.0624,7.4652,7.0296,19.4092,9.3579,10.5578,,,84.118
Northeast Elementary School,2.422,1.0938,0,3.4016,11.8927,22.1928,11.2732,9.5399,8.2391,6.9018,8.3046,7.869,20.2486,10.1973,11.3972,,,13
Cayuga Heights Elementary School,3.4013,3.3915,3.2467,0,4.3071,15.135,5.1776,4.2609,3.3491,6.1797,4.542,7.1469,16.3538,6.3025,7.5024,,,6.470615385
Belle Sherman Elementary School,6.6556,10.6366,11.35,4.3359,0,10.8116,2.4405,2.2256,2.738,5.7088,3.4322,4.4535,14.1164,4.0651,5.265,,,
Caroline After School Program,23.2773,21.091,21.8044,15.318,10.9658,0,12.8949,12.6799,13.1924,16.1632,13.8866,14.9078,24.5708,14.5195,15.7194,,,
South Hill Elementary School,12.2295,10.0432,10.7565,4.8547,2.4115,12.7116,0,1.6321,2.1446,5.1154,2.8388,3.86,13.523,3.4717,3.8084,,,
Beverly J. Martin Elementary School,10.8008,8.6145,9.3279,4.2911,2.3852,12.6853,1.7657,0,1.581,3.6867,1.4101,2.4313,12.0943,2.043,3.2429,,,
Fall Creek Elementary School,9.5361,7.3498,8.0632,3.3779,3.4525,13.7527,2.8331,1.5813,0,1.3598,1.1929,1.1666,13.5463,3.495,4.6948,,,
Boynton Middle School,7.7187,5.5324,6.2458,5.6356,6.3329,16.6331,5.7135,3.9801,1.3598,0,2.7448,2.3093,14.6889,4.6376,5.8374,,,
ICSD Technology,9.8777,7.6914,8.4048,7.7946,3.981,14.2811,3.3615,0.969,1.1929,2.7636,0,1.5083,12.3369,2.2856,3.4855,,,
737 Willow Ave,9.1841,6.9978,7.7112,7.101,4.8202,15.1203,4.2007,2.4674,1.1666,2.07,1.2321,0,13.1762,3.1248,4.3247,,,
Enfield Elementary School,21.9634,19.7771,20.4905,16.9424,14.1765,24.4766,13.557,12.3879,13.946,14.8493,12.5727,13.5939,0,11.0823,13.681,,,
Lehman Alternative Community School,11.9121,9.7258,10.4392,6.8911,4.1252,14.4253,3.5057,2.3366,3.8947,4.798,2.5214,3.5426,11.0823,0,3.6297,,,
Tompkins County Recycling,12.5802,10.3939,11.1073,7.5592,4.7933,15.0934,4.1738,3.0047,4.5628,5.4661,3.1895,4.2107,13.8737,3.8224,0,,,
